ลำดับ,จังหวัดภูมิลำเนา,จังหวัดสถานที่ติดต่อได้,จังหวัดสถานที่ทำงาน,สถานะใบอนุญาต
39751,สุพรรณบุรี,สุพรรณบุรี,กรุงเทพมหานคร,ปกติ
39752,เพชรบูรณ์,เพชรบูรณ์,สระบุรี,ปกติ
39753,ยะลา,ยะลา,ยะลา,ปกติ
39754,พิจิตร,พิจิตร,นนทบุรี,ปกติ
39755,เชียงใหม่,เชียงใหม่,,ปกติ
39756,สระบุรี,สระบุรี,สระบุรี,ปกติ
39757,ปทุมธานี,ปทุมธานี,กรุงเทพมหานคร,ปกติ
39758,มหาสารคาม,มหาสารคาม,กรุงเทพมหานคร,ปกติ
39759,กรุงเทพมหานคร,สงขลา,กรุงเทพมหานคร,ปกติ
39760,ชลบุรี,กรุงเทพมหานคร,,ปกติ
39761,ชลบุรี,ชลบุรี,ชลบุรี,ปกติ
39762,กรุงเทพมหานคร,นครปฐม,สมุทรสาคร,ปกติ
39763,นครปฐม,นครปฐม,นครปฐม,ปกติ
39764,ลำปาง,ลำปาง,,ปกติ
39765,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39766,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39767,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39768,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39769,พะเยา,เชียงใหม่,เชียงใหม่,ปกติ
39770,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39771,ภูเก็ต,ภูเก็ต,ภูเก็ต,ปกติ
39772,สมุทรปราการ,สมุทรปราการ,กรุงเทพมหานคร,ปกติ
39773,ราชบุรี,ราชบุรี,,ปกติ
39774,นครราชสีมา,นครราชสีมา,ชัยภูมิ,ปกติ
39775,ลำปาง,ลำปาง,ลำปาง,ปกติ
39776,กรุงเทพมหานคร,กรุงเทพมหานคร,ปทุมธานี,ปกติ
39777,บึงกาฬ,บึงกาฬ,บึงกาฬ,ปกติ
39778,กรุงเทพมหานคร,สมุทรปราการ,กรุงเทพมหานคร,ปกติ
39779,พะเยา,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39780,เชียงราย,เชียงราย,เชียงราย,ปกติ
39781,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39782,นครราชสีมา,นครราชสีมา,,ปกติ
39783,นครศรีธรรมราช,นครศรีธรรมราช,นครศรีธรรมราช,ปกติ
39784,สกลนคร,นครราชสีมา,นครราชสีมา,ปกติ
39785,สุโขทัย,สุโขทัย,,ปกติ
39786,สุพรรณบุรี,สุพรรณบุรี,สุพรรณบุรี,ปกติ
39787,สตูล,นครปฐม,นครปฐม,ปกติ
39788,สงขลา,สงขลา,,ปกติ
39789,อ่างทอง,อ่างทอง,จันทบุรี,ปกติ
39790,ขอนแก่น,ขอนแก่น,ขอนแก่น,ปกติ
39791,ชลบุรี,ชลบุรี,กรุงเทพมหานคร,ปกติ
39792,ปทุมธานี,ปทุมธานี,ปทุมธานี,ปกติ
39793,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39794,พระนครศรีอยุธยา,พระนครศรีอยุธยา,,ปกติ
39795,ชลบุรี,ชลบุรี,ชลบุรี,ปกติ
39796,ชลบุรี,ชลบุรี,ชลบุรี,ปกติ
39797,ปทุมธานี,ปทุมธานี,ปทุมธานี,ปกติ
39798,นครปฐม,นครปฐม,กรุงเทพมหานคร,ปกติ
39799,นครปฐม,นครปฐม,นครปฐม,ปกติ
39800,พิจิตร,ระยอง,ระยอง,ปกติ
39801,ขอนแก่น,ขอนแก่น,ขอนแก่น,ปกติ
39802,อ่างทอง,อ่างทอง,,ปกติ
39803,ปทุมธานี,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39804,ลพบุรี,ลพบุรี,แม่ฮ่องสอน,ปกติ
39805,เชียงใหม่,เชียงใหม่,เชียงใหม่,ปกติ
39806,กรุงเทพมหานคร,กรุงเทพมหานคร,,ปกติ
39807,ปัตตานี,ปัตตานี,ยะลา,ปกติ
39808,สระบุรี,สระบุรี,สระบุรี,ปกติ
39809,เพชรบุรี,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39810,นครปฐม,นครปฐม,นครปฐม,ปกติ
39811,สมุทรปราการ,สมุทรปราการ,กรุงเทพมหานคร,ปกติ
39812,น่าน,ปทุมธานี,ปทุมธานี,ปกติ
39813,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39814,พระนครศรีอยุธยา,พระนครศรีอยุธยา,เพชรบูรณ์,ปกติ
39815,สิงห์บุรี,สิงห์บุรี,สระบุรี,ปกติ
39816,พิษณุโลก,สมุทรปราการ,สมุทรปราการ,ปกติ
39817,ร้อยเอ็ด,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39818,สมุทรสาคร,สมุทรสาคร,สมุทรสาคร,ปกติ
39819,เชียงใหม่,เชียงใหม่,,ปกติ
39820,เพชรบูรณ์,เพชรบูรณ์,เชียงใหม่,ปกติ
39821,ยะลา,สงขลา,ปัตตานี,ปกติ
39822,เชียงใหม่,เชียงใหม่,เชียงใหม่,ปกติ
39823,ชลบุรี,ชลบุรี,ชลบุรี,ปกติ
39824,นครราชสีมา,ชลบุรี,ชลบุรี,ปกติ
39825,นครศรีธรรมราช,สุราษฎร์ธานี,สุราษฎร์ธานี,ปกติ
39826,จันทบุรี,จันทบุรี,จันทบุรี,ปกติ
39827,พระนครศรีอยุธยา,กรุงเทพมหานคร,สมุทรปราการ,ปกติ
39828,สมุทรสงคราม,สมุทรสงคราม,นครสวรรค์,ปกติ
39829,บึงกาฬ,บึงกาฬ,บึงกาฬ,ปกติ
39830,นครราชสีมา,นครราชสีมา,กรุงเทพมหานคร,ปกติ
39831,เชียงใหม่,เชียงใหม่,ร้อยเอ็ด,ปกติ
39832,ร้อยเอ็ด,ร้อยเอ็ด,ร้อยเอ็ด,ปกติ
39833,สมุทรปราการ,สมุทรปราการ,สมุทรปราการ,ปกติ
39834,เชียงใหม่,เชียงใหม่,เชียงใหม่,ปกติ
39835,สระบุรี,สระบุรี,กรุงเทพมหานคร,ปกติ
39836,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39837,พิษณุโลก,พิษณุโลก,พิจิตร,ปกติ
39838,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39839,สมุทรสาคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39840,เชียงราย,เชียงราย,เชียงราย,ปกติ
39841,ชลบุรี,กรุงเทพมหานคร,สมุทรปราการ,ปกติ
39842,บุรีรัมย์,บุรีรัมย์,บุรีรัมย์,ปกติ
39843,ปทุมธานี,ปทุมธานี,ปทุมธานี,ปกติ
39844,อุดรธานี,อุดรธานี,อุดรธานี,ปกติ
39845,นครพนม,นครพนม,นครพนม,ปกติ
39846,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
